State,City,,Population1,"Violent 
crime",Murder,Rape2,Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson3
,INGLEWOOD,2017,"110,811",418,4,22,206,186,"1,366",242,685,439,10
,,2018,,349,7,29,155,158,"1,382",220,823,339,6
,IRVINE,2017,"276,115",87,2,24,28,33,"1,797",324,"1,374",99,4
,,2018,,83,0,23,22,38,"1,673",273,"1,316",84,2
,JURUPA VALLEY,2017,"104,922",138,3,10,36,89,"1,352",155,858,339,3
,,2018,,134,5,8,45,76,"1,389",201,791,397,0
,LANCASTER,2017,"160,653",527,7,29,143,348,"1,561",438,794,329,17
,,2018,,586,4,49,142,391,"1,855",512,981,362,14
,LONG BEACH,2017,"471,397","1,551",11,93,618,829,"6,280","1,442","3,416","1,422",59
,,2018,,"1,702",11,107,527,"1,057","5,936","1,077","3,688","1,171",57
,LOS ANGELES,2017,"4,007,147","14,647",142,"1,229","5,163","8,113","50,108","8,233","32,231","9,644",651
,,2018,,"14,472",133,"1,281","5,138","7,920","50,015","7,875","33,317","8,823",897
,MODESTO,2017,"213,677","1,009",13,54,253,689,"4,279",664,"2,897",718,36
,,2018,,963,8,47,204,704,"3,965",564,"2,819",582,26
,MORENO VALLEY,2017,"207,418",372,6,15,166,185,"3,303",580,"2,132",591,8
,,2018,,396,7,17,141,231,"2,933",591,"1,828",514,5
,MURRIETA,2017,"113,016",39,1,10,15,13,837,140,608,89,4
,,2018,,51,2,7,18,24,661,128,435,98,2
,NORWALK,2017,"106,278",202,2,9,65,126,990,221,532,237,5
,,2018,,219,5,4,61,149,"1,057",222,604,231,4
,OAKLAND,2017,"424,915","2,790",32,185,"1,367","1,206","13,028","1,431","8,587","3,010",70
,,2018,,"2,675",32,214,"1,220","1,209","10,677","1,160","7,021","2,496",106
,OCEANSIDE,2017,"176,815",335,4,36,82,213,"2,100",317,"1,568",215,16
,,2018,,309,3,33,72,201,"1,845",258,"1,346",241,12
,ONTARIO,2017,"174,724",309,3,59,96,151,"2,218",344,"1,431",443,10
