,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson
66,CALIFORNIA,SANTA MARIA,2015,104355,214,4,26,67,117,1466,328,804,334,4
67,CALIFORNIA,SANTA ROSA,2015,175738,312,2,40,65,205,2313,324,1739,250,20
68,CALIFORNIA,SIMI VALLEY,2015,127472,83,1,12,20,50,801,132,613,56,5
69,CALIFORNIA,STOCKTON,2015,304890,2019,18,65,570,1366,6399,1450,3999,950,47
70,CALIFORNIA,SUNNYVALE,2015,152443,78,0,17,34,27,1231,302,778,151,7
71,CALIFORNIA,TEMECULA,2015,111673,51,0,5,20,26,1503,266,1077,160,1
72,CALIFORNIA,THOUSAND OAKS,2015,129976,65,0,18,12,35,830,131,638,61,4
73,CALIFORNIA,TORRANCE,2015,149243,104,1,20,36,47,1418,272,980,166,1
74,CALIFORNIA,VALLEJO,2015,121257,502,8,55,154,285,2449,1084,852,513,17
75,CALIFORNIA,VENTURA,2015,110077,196,1,32,53,110,1945,327,1493,125,8
76,CALIFORNIA,VICTORVILLE,2015,123332,379,4,33,96,246,1901,543,1080,278,23
77,CALIFORNIA,VISALIA,2015,130405,309,3,57,75,174,1982,427,1315,240,10
78,CALIFORNIA,WEST COVINA,2015,109030,121,1,6,39,75,1460,182,1049,229,2
79,COLORADO,ARVADA,2015,115379,80,1,15,16,48,1323,144,1086,93,11
80,COLORADO,AURORA,2015,360237,763,7,183,203,370,5037,807,3632,598,34
81,COLORADO,COLORADO SPRINGS,2015,452410,885,8,135,185,557,7591,1113,5791,687,67
82,COLORADO,DENVER,2015,682418,2122,20,312,559,1231,11212,2196,7017,1999,57
83,COLORADO,FORT COLLINS,2015,159629,145,1,11,17,116,1701,215,1398,88,6
84,COLORADO,LAKEWOOD,2015,151311,425,4,66,98,257,3550,420,2763,367,6
85,COLORADO,PUEBLO,2015,108810,457,3,93,80,281,3413,1038,2016,359,19
86,COLORADO,THORNTON,2015,133188,166,1,51,30,84,2176,303,1560,313,12
87,COLORADO,WESTMINSTER,2015,113547,135,1,28,20,86,1746,179,1337,230,3
88,CONNECTICUT,BRIDGEPORT5,2015,148313,488,8,39,214,227,1506,385,882,239,6
89,CONNECTICUT,HARTFORD,2015,124553,698,15,15,253,415,2549,414,1749,386,27
90,CONNECTICUT,NEW HAVEN,2015,130403,582,6,28,224,324,2399,341,1759,299,10
91,CONNECTICUT,STAMFORD,2015,129682,128,2,8,39,79,798,96,624,78,1
92,CONNECTICUT,WATERBURY6,2015,109044,206,1,13,119,73,2093,203,1464,426,2
93,FLORIDA,CAPE CORAL,2015,173844,114,0,6,22,86,1552,288,1197,67,2
