,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson
66,CALIFORNIA,SANTA MARIA,2016,104355,270,7,20,97,146,1371,233,815,323,3
67,CALIFORNIA,SANTA ROSA,2016,175738,333,4,48,58,223,1714,298,1192,224,11
68,CALIFORNIA,SIMI VALLEY,2016,127472,88,0,17,22,49,780,171,561,48,2
69,CALIFORNIA,STOCKTON,2016,304890,2158,25,57,578,1498,5912,1130,3949,833,42
70,CALIFORNIA,SUNNYVALE,2016,152443,68,0,8,21,39,1012,266,629,117,9
71,CALIFORNIA,TEMECULA,2016,111673,62,2,3,27,30,1238,165,912,161,1
72,CALIFORNIA,THOUSAND OAKS,2016,129976,83,0,16,17,50,761,109,605,47,4
73,CALIFORNIA,TORRANCE,2016,149243,116,0,12,58,46,1568,208,1173,187,3
74,CALIFORNIA,VALLEJO,2016,121257,517,10,48,167,292,2419,1120,691,608,36
75,CALIFORNIA,VENTURA,2016,110077,183,4,28,46,105,1854,325,1382,147,3
76,CALIFORNIA,VICTORVILLE,2016,123332,314,4,21,95,194,1833,452,1125,256,10
77,CALIFORNIA,VISALIA,2016,130405,264,2,29,53,180,1969,492,1137,340,1
78,CALIFORNIA,WEST COVINA,2016,109030,146,2,9,64,71,1442,270,921,251,5
79,COLORADO,ARVADA,2016,115379,103,1,16,21,65,1445,165,1107,173,12
80,COLORADO,AURORA,2016,360237,904,7,136,280,481,5477,811,3924,742,29
81,COLORADO,COLORADO SPRINGS,2016,452410,1135,7,255,197,676,7574,1187,5489,898,51
82,COLORADO,DENVER,2016,682418,2126,20,255,573,1278,12336,2384,7655,2297,43
83,COLORADO,FORT COLLINS,2016,159629,133,1,13,14,105,1583,165,1334,84,7
84,COLORADO,LAKEWOOD,2016,151311,437,3,76,82,276,4124,492,3194,438,11
85,COLORADO,PUEBLO,2016,108810,536,2,81,109,344,3439,879,2135,425,25
86,COLORADO,THORNTON,2016,133188,143,1,35,16,91,1997,259,1435,303,8
87,COLORADO,WESTMINSTER,2016,113547,129,3,22,35,69,1920,176,1427,317,4
88,CONNECTICUT,BRIDGEPORT5,2016,148313,472,2,28,188,254,0,292,0,270,4
89,CONNECTICUT,HARTFORD,2016,124553,613,10,28,202,373,2390,363,1661,366,55
90,CONNECTICUT,NEW HAVEN,2016,130403,594,5,35,188,366,2299,333,1652,314,13
91,CONNECTICUT,STAMFORD,2016,129682,153,0,17,54,82,851,121,657,73,1
92,CONNECTICUT,WATERBURY6,2016,109044,267,3,14,110,140,2052,358,1393,301,13
93,FLORIDA,CAPE CORAL,2016,173844,103,4,7,19,73,1508,307,1111,90,2
94,FLORIDA,CLEARWATER,2016,111316,336,1,40,69,226,1821,260,1463,98,6
95,FLORIDA,CORAL SPRINGS,2016,129631,110,0,11,37,62,1205,104,1018,83,4
96,FLORIDA,DAVIE,2016,100612,97,2,13,38,44,1431,160,1125,146,3
97,FLORIDA,FORT LAUDERDALE,2016,178598,584,12,46,225,301,5366,941,3983,442,9
98,FLORIDA,GAINESVILLE,2016,129410,420,3,57,83,277,2379,307,1930,142,3
99,FLORIDA,HIALEAH,2016,238132,336,5,18,82,231,2812,255,2255,302,17
100,FLORIDA,HOLLYWOOD,2016,149822,316,2,25,110,179,2372,358,1756,258,2
101,FLORIDA,JACKSONVILLE,2016,867258,2758,52,251,703,1752,15340,2758,11160,1422,45
102,FLORIDA,LAKELAND,2016,103498,168,1,36,55,76,2585,321,2088,176,1
103,FLORIDA,MIAMI,2016,437969,1953,27,44,671,1211,9473,1282,7305,886,28
104,FLORIDA,MIAMI GARDENS,2016,113469,376,11,7,135,223,1820,297,1316,207,12
105,FLORIDA,MIRAMAR,2016,138330,233,2,12,63,156,1480,164,1183,133,4
106,FLORIDA,ORLANDO7,2016,268438,1194,65,85,240,804,7600,1421,5609,570,11
107,FLORIDA,PALM BAY,2016,106469,251,2,30,25,194,783,192,536,55,5
108,FLORIDA,PEMBROKE PINES,2016,167266,187,1,9,51,126,1823,152,1548,123,1
109,FLORIDA,POMPANO BEACH,2016,107656,458,3,44,160,251,2586,413,1888,285,2
110,FLORIDA,PORT ST. LUCIE,2016,176364,139,2,8,27,102,1167,204,925,38,3
111,FLORIDA,ST. PETERSBURG,2016,255821,854,11,59,258,526,5642,932,4272,438,22
112,FLORIDA,TALLAHASSEE,2016,189709,857,4,104,200,549,5346,1036,3777,533,3
113,FLORIDA,TAMPA,2016,364383,984,12,43,258,671,4031,761,2917,353,34
114,FLORIDA,WEST PALM BEACH,2016,104919,479,3,41,151,284,2671,439,1949,283,12
115,GEORGIA,ATHENS-CLARKE COUNTY,2016,120858,274,1,27,76,170,2096,425,1559,112,9
116,GEORGIA,ATLANTA,2016,464710,2531,57,60,1092,1322,11522,2171,7507,1844,27
