,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson
135,CALIFORNIA,SAN DIEGO,2018,1424116,2630,18,310,653,1649,12983,1798,8698,2487,91
137,CALIFORNIA,SAN FRANCISCO,2018,881255,3060,21,185,1521,1333,23559,2583,18998,1978,126
139,CALIFORNIA,SAN JOSE,2018,1037529,2077,15,257,788,1017,13018,2253,6468,4297,71
141,CALIFORNIA,SAN MATEO,2018,105090,136,0,6,40,90,1076,346,618,112,3
143,CALIFORNIA,SANTA ANA,2018,335699,727,10,78,247,392,3075,418,1877,780,27
145,CALIFORNIA,SANTA CLARA,2018,127538,103,0,26,36,41,1620,185,1218,217,4
147,CALIFORNIA,SANTA CLARITA,2018,216350,169,3,23,54,89,1295,310,832,153,15
149,CALIFORNIA,SANTA MARIA,2018,107424,238,2,28,73,135,1032,179,529,324,10
151,CALIFORNIA,SANTA ROSA,2018,176361,389,3,81,64,241,1556,256,1096,204,14
153,CALIFORNIA,SIMI VALLEY,2018,126635,110,0,25,31,54,802,112,618,72,0
155,CALIFORNIA,STOCKTON,2018,309566,2045,15,93,559,1378,5624,1158,3435,1031,82
157,CALIFORNIA,SUNNYVALE,2018,154919,116,0,23,37,56,1265,201,862,202,1
159,CALIFORNIA,TEMECULA,2018,115220,65,0,0,29,36,1334,213,973,148,0
161,CALIFORNIA,THOUSAND OAKS,2018,129240,51,2,13,13,23,707,104,545,58,2
163,CALIFORNIA,TORRANCE,2018,147482,125,1,11,55,58,1353,238,978,137,7
165,CALIFORNIA,VALLEJO,2018,122174,474,4,42,170,258,2024,1069,490,465,20
167,CALIFORNIA,VENTURA,2018,110006,223,1,31,48,143,1728,274,1302,152,26
169,CALIFORNIA,VICTORVILLE,2018,123284,389,5,25,126,233,1404,334,720,350,14
171,CALIFORNIA,VISALIA,2018,132143,215,1,45,68,101,2048,359,1432,257,7
173,CALIFORNIA,VISTA,2018,103004,155,1,21,41,92,735,138,445,152,0
175,CALIFORNIA,WEST COVINA,2018,108128,128,0,7,72,49,1262,198,885,179,3
177,COLORADO,AURORA,2018,368018,1275,9,183,293,790,5504,828,3572,1104,30
179,COLORADO,CENTENNIAL,2018,111416,97,1,21,8,67,944,119,740,85,5
181,COLORADO,COLORADO SPRINGS,2018,472958,1272,10,233,223,806,7147,1077,4942,1128,72
183,COLORADO,DENVER,2018,706616,2494,36,347,570,1541,12947,2060,8302,2585,61
185,COLORADO,FORT COLLINS,2018,167633,173,1,11,17,144,1790,181,1532,77,4
187,COLORADO,GREELEY,2018,105906,210,1,44,30,135,1308,182,986,140,11
189,COLORADO,PUEBLO,2018,110872,558,3,88,109,358,3168,639,1966,563,31
191,COLORADO,THORNTON4,2018,139825,173,1,59,42,71,2186,236,1597,353,13
193,COLORADO,WESTMINSTER,2018,115155,169,13,28,38,90,1729,150,1271,308,15
195,CONNECTICUT,BRIDGEPORT,2018,146110,439,5,29,131,274,1411,239,876,296,9
197,CONNECTICUT,HARTFORD,2018,122891,677,9,24,179,465,2311,332,1572,407,38
199,CONNECTICUT,STAMFORD,2018,130189,110,2,8,26,74,1026,110,805,111,3
201,CONNECTICUT,WATERBURY,2018,107924,247,3,30,96,118,2075,277,1395,403,5
203,FLORIDA,CAPE CORAL,2018,184346,123,0,6,28,89,1369,202,1084,83,1
205,FLORIDA,CLEARWATER,2018,115295,267,2,53,59,153,1680,185,1394,101,4
207,FLORIDA,CORAL SPRINGS,2018,131558,82,0,14,29,39,1035,104,855,76,1
209,FLORIDA,DAVIE,2018,103555,137,0,16,35,86,1374,107,1134,133,1
211,FLORIDA,FORT LAUDERDALE,2018,180972,505,11,33,162,299,4428,625,3368,435,5
213,FLORIDA,GAINESVILLE,2018,132777,501,4,74,113,310,2532,272,2087,173,5
215,FLORIDA,HIALEAH,2018,238260,281,1,18,84,178,2686,213,2094,379,1
217,FLORIDA,HOLLYWOOD,2018,153893,189,4,12,56,117,2101,249,1576,276,2
219,FLORIDA,JACKSONVILLE,2018,894638,2766,55,289,674,1748,15404,2458,11465,1481,45
221,FLORIDA,LAKELAND,2018,107927,159,3,45,32,79,1834,278,1465,91,0
223,FLORIDA,MIAMI,2018,463009,1419,27,56,396,940,8439,1091,6517,831,30
225,FLORIDA,MIAMI GARDENS,2018,114008,437,12,8,116,301,2149,251,1694,204,8
227,FLORIDA,MIRAMAR,2018,141328,163,3,15,47,98,1043,106,792,145,2
229,FLORIDA,ORLANDO,2018,283982,1059,22,83,313,641,6688,776,5351,561,4
231,FLORIDA,PALM BAY,2018,111275,216,2,35,19,160,1129,226,835,68,3
233,FLORIDA,PEMBROKE PINES,2018,170923,157,1,14,31,111,1616,123,1372,121,2
235,FLORIDA,POMPANO BEACH,2018,111027,430,1,47,139,243,2187,303,1588,296,2
237,FLORIDA,PORT ST. LUCIE,2018,188652,100,2,16,16,66,900,146,717,37,4
239,FLORIDA,ST. PETERSBURG,2018,263712,760,12,65,187,496,4332,612,3337,383,22
241,FLORIDA,TALLAHASSEE,2018,192455,674,5,112,133,424,4285,655,3268,362,4
243,FLORIDA,TAMPA,2018,384360,786,10,39,153,584,3135,534,2372,229,16
245,FLORIDA,WEST PALM BEACH,2018,109459,538,16,46,183,293,2146,333,1614,199,9
247,GEORGIA,ATLANTA,2018,481343,1947,42,128,557,1220,10892,1475,7837,1580,47
249,GEORGIA,COLUMBUS,2018,198832,551,15,35,133,368,4142,746,3060,336,2
251,GEORGIA,SANDY SPRINGS,2018,107740,63,2,7,23,31,1000,165,756,79,1
253,GEORGIA,SAVANNAH-CHATHAM METROPOLITAN,2018,242941,453,10,81,129,233,2887,449,2091,347,5
255,HAWAII,HONOLULU5,2018,990384,1200,8,164,413,615,14397,1654,10435,2308,146
