,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson
67,CALIFORNIA,SAN DIEGO,2017,1424116,2515,17,265,694,1539,13173,2032,8552,2589,81
68,CALIFORNIA,SAN FRANCISCO,2017,881255,3069,34,187,1599,1249,27654,2568,22449,2637,151
69,CALIFORNIA,SAN JOSE,2017,1037529,1916,15,299,604,998,12528,1973,6463,4092,84
70,CALIFORNIA,SAN MATEO,2017,105090,122,0,9,26,87,1004,299,614,91,2
71,CALIFORNIA,SANTA ANA,2017,335699,787,10,85,304,388,3769,459,2176,1134,33
72,CALIFORNIA,SANTA CLARA,2017,127538,88,0,17,22,49,1538,161,1181,196,4
73,CALIFORNIA,SANTA CLARITA,2017,216350,173,2,19,59,93,1637,343,1080,214,6
74,CALIFORNIA,SANTA MARIA,2017,107424,224,0,25,72,127,1218,218,629,371,4
75,CALIFORNIA,SANTA ROSA,2017,176361,375,4,58,60,253,1567,253,1119,195,8
76,CALIFORNIA,SIMI VALLEY,2017,126635,81,0,9,16,56,917,161,678,78,2
77,CALIFORNIA,STOCKTON,2017,309566,2120,19,69,578,1454,5765,1146,3548,1071,70
78,CALIFORNIA,SUNNYVALE,2017,154919,80,1,13,27,39,1251,247,865,139,8
79,CALIFORNIA,TEMECULA,2017,115220,56,0,2,18,36,1436,204,1083,149,0
80,CALIFORNIA,THOUSAND OAKS,2017,129240,73,0,22,11,40,837,137,626,74,6
81,CALIFORNIA,TORRANCE,2017,147482,146,0,17,57,72,1546,302,999,245,8
82,CALIFORNIA,VALLEJO,2017,122174,541,10,46,187,298,2369,1256,603,510,20
83,CALIFORNIA,VENTURA,2017,110006,231,1,31,56,143,1822,297,1332,193,10
84,CALIFORNIA,VICTORVILLE,2017,123284,417,8,29,128,252,1700,402,968,330,27
85,CALIFORNIA,VISALIA,2017,132143,245,6,36,79,124,2129,470,1342,317,8
86,CALIFORNIA,VISTA,2017,103004,189,4,22,54,109,746,159,460,127,7
87,CALIFORNIA,WEST COVINA,2017,108128,150,0,20,75,55,1266,259,811,196,6
88,COLORADO,AURORA,2017,368018,1073,17,149,350,557,5380,811,3608,961,31
89,COLORADO,CENTENNIAL,2017,111416,66,3,13,9,41,916,151,680,85,6
90,COLORADO,COLORADO SPRINGS,2017,472958,1274,16,264,231,763,7185,1149,5097,939,61
91,COLORADO,DENVER,2017,706616,2318,29,341,557,1391,12255,2081,7786,2388,66
92,COLORADO,FORT COLLINS,2017,167633,188,1,23,17,147,2149,241,1800,108,6
93,COLORADO,GREELEY,2017,105906,192,1,28,23,140,1260,194,926,140,13
94,COLORADO,PUEBLO,2017,110872,555,3,108,97,347,3308,614,2156,538,24
95,COLORADO,THORNTON3,2017,139825,219,2,71,33,113,0,0,1405,382,16
96,COLORADO,WESTMINSTER,2017,115155,133,1,28,27,77,1765,203,1203,359,9
97,CONNECTICUT,BRIDGEPORT,2017,146110,600,12,27,264,297,1662,287,1022,353,8
98,CONNECTICUT,HARTFORD,2017,122891,611,14,27,190,380,2296,341,1638,317,38
99,CONNECTICUT,STAMFORD,2017,130189,136,0,13,42,81,965,106,752,107,3
100,CONNECTICUT,WATERBURY,2017,107924,249,3,26,124,96,1883,284,1203,396,6
101,FLORIDA,CAPE CORAL,2017,184346,118,3,8,12,95,1488,290,1126,72,1
102,FLORIDA,CLEARWATER,2017,115295,293,2,42,71,178,1848,249,1476,123,11
103,FLORIDA,CORAL SPRINGS,2017,131558,125,0,27,35,63,1287,112,1064,111,2
104,FLORIDA,DAVIE,2017,103555,124,1,13,44,66,1347,145,1094,108,9
105,FLORIDA,FORT LAUDERDALE,2017,180972,523,4,37,214,268,5246,821,3978,447,8
106,FLORIDA,GAINESVILLE,2017,132777,472,2,81,94,295,2225,229,1854,142,3
107,FLORIDA,HIALEAH,2017,238260,232,2,15,77,138,2673,283,2042,348,16
108,FLORIDA,HOLLYWOOD,2017,153893,216,3,13,90,110,2391,393,1754,244,4
109,FLORIDA,JACKSONVILLE,2017,894638,2696,52,257,670,1717,15489,2832,11251,1406,52
110,FLORIDA,LAKELAND,2017,107927,154,1,35,39,79,1917,268,1540,109,0
111,FLORIDA,MIAMI,2017,463009,1665,26,41,510,1088,9265,1187,7044,1034,33
112,FLORIDA,MIAMI GARDENS,2017,114008,448,11,8,108,321,1727,214,1314,199,6
113,FLORIDA,MIRAMAR,2017,141328,225,2,14,51,158,1103,167,817,119,2
114,FLORIDA,ORLANDO,2017,283982,1000,13,85,279,623,7906,1272,5904,730,13
115,FLORIDA,PALM BAY,2017,111275,279,5,23,29,222,1024,221,723,80,5
116,FLORIDA,PEMBROKE PINES,2017,170923,179,0,15,46,118,1891,189,1529,173,4
117,FLORIDA,POMPANO BEACH,2017,111027,497,8,32,220,237,2712,388,1888,436,5
118,FLORIDA,PORT ST. LUCIE,2017,188652,86,0,8,14,64,1089,178,867,44,1
119,FLORIDA,ST. PETERSBURG,2017,263712,955,12,62,243,638,6277,940,4814,523,59
120,FLORIDA,TALLAHASSEE,2017,192455,891,6,103,203,579,4637,762,3507,368,5
121,FLORIDA,TAMPA,2017,384360,904,20,53,198,633,3123,590,2267,266,24
122,FLORIDA,WEST PALM BEACH,2017,109459,515,15,38,163,299,2895,451,2160,284,12
123,GEORGIA,ATLANTA,2017,481343,2165,37,130,669,1329,10383,1602,7291,1490,42
124,GEORGIA,COLUMBUS,2017,198832,613,9,42,208,354,4172,1006,2834,332,19
125,GEORGIA,SANDY SPRINGS,2017,107740,56,0,8,26,22,1097,194,827,76,2
126,GEORGIA,SAVANNAH-CHATHAM METROPOLITAN,2017,242941,570,23,52,182,313,4197,626,3121,450,10
127,HAWAII,HONOLULU4,2017,990384,1206,15,157,443,591,13256,1568,10037,1651,170
128,ILLINOIS,AURORA,2017,201599,251,4,28,46,173,1246,191,963,92,11
129,ILLINOIS,CHICAGO,2017,2706171,14070,331,870,5382,7487,41577,6317,29658,5602,265
130,ILLINOIS,ELGIN,2017,112767,116,0,18,24,74,754,97,625,32,2
131,ILLINOIS,JOLIET,2017,148342,283,5,36,74,168,1240,230,946,64,43
132,ILLINOIS,NAPERVILLE,2017,147934,87,1,15,20,51,870,64,785,21,5
133,ILLINOIS,PEORIA,2017,114157,430,7,31,140,252,2171,518,1536,117,18
134,ILLINOIS,ROCKFORD,2017,146770,1147,9,60,210,868,2438,647,1593,198,20
135,ILLINOIS,SPRINGFIELD,2017,115568,614,5,44,118,447,2438,558,1731,149,25
136,INDIANA,EVANSVILLE,2017,119371,453,6,30,87,330,2905,423,2276,206,16
137,INDIANA,FORT WAYNE,2017,266259,463,13,57,151,242,4191,611,3343,237,40
138,INDIANA,INDIANAPOLIS,2017,870788,5903,58,315,1741,3789,18331,4254,11630,2447,100
139,INDIANA,SOUTH BEND,2017,101857,468,9,47,163,249,2492,629,1630,233,24
140,IOWA,CEDAR RAPIDS,2017,131878,185,0,19,46,120,2259,424,1693,142,8
141,IOWA,DAVENPORT,2017,103063,385,7,51,97,230,2506,479,1753,274,13
142,KANSAS,OLATHE,2017,137070,129,1,44,18,66,931,74,792,65,2
143,KANSAS,OVERLAND PARK,2017,191566,199,3,50,32,114,1475,160,1185,130,2
144,KANSAS,TOPEKA,2017,126624,371,15,25,112,219,3124,467,2280,377,5
145,KANSAS,WICHITA,2017,391084,1909,18,210,310,1371,10810,1616,8010,1184,41
146,KENTUCKY,LEXINGTON,2017,322332,553,9,100,281,163,5950,1119,4202,629,22
147,LOUISIANA,BATON ROUGE,2017,227403,1205,33,47,448,677,6120,1308,4317,495,79
148,LOUISIANA,LAFAYETTE,2017,128691,359,11,8,94,246,3116,523,2431,162,14
149,LOUISIANA,NEW ORLEANS,2017,397447,2228,94,263,682,1189,8539,1178,6094,1267,0
150,LOUISIANA,SHREVEPORT,2017,193937,941,27,74,251,589,5328,1160,3737,431,34
151,MARYLAND,BALTIMORE,2017,613217,6095,170,176,2780,2969,14462,3808,8033,2621,149
152,MASSACHUSETTS,BOSTON,2017,682903,2170,22,144,668,1336,6649,1013,5080,556,0
153,MASSACHUSETTS,CAMBRIDGE,2017,111707,144,0,7,37,100,907,137,727,43,1
154,MASSACHUSETTS,LOWELL,2017,111294,136,1,3,64,68,1146,224,693,229,5
155,MASSACHUSETTS,SPRINGFIELD,2017,154562,629,8,45,168,408,2208,585,1415,208,25
156,MASSACHUSETTS,WORCESTER,2017,185107,682,3,24,143,512,1884,402,1281,201,2
