,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson
68,CALIFORNIA,FREMONT,2017,236368,202,0,30,88,84,2722,350,1870,502,8
69,CALIFORNIA,FREMONT,2018,236368,272,1,32,115,124,2372,402,1608,362,6
70,CALIFORNIA,FRESNO,2017,526371,1511,33,90,502,886,10256,1860,6908,1488,112
71,CALIFORNIA,FRESNO,2018,526371,1489,18,93,473,905,8628,1411,6126,1091,129
72,CALIFORNIA,FULLERTON,2017,141637,133,0,31,41,61,1984,154,1620,210,20
73,CALIFORNIA,FULLERTON,2018,141637,174,0,27,66,81,1878,176,1460,242,8
74,CALIFORNIA,GARDEN GROVE,2017,175466,304,2,6,112,184,2209,427,1458,324,11
75,CALIFORNIA,GARDEN GROVE,2018,175466,266,2,28,90,146,2096,329,1438,329,6
76,CALIFORNIA,GLENDALE,2017,202381,155,1,13,72,69,1553,246,1150,157,5
77,CALIFORNIA,GLENDALE,2018,202381,83,0,16,24,43,1491,188,1156,147,5
78,CALIFORNIA,HAYWARD,2017,161417,260,2,34,125,99,2523,247,1355,921,13
79,CALIFORNIA,HAYWARD,2018,161417,330,0,55,170,105,2434,262,1468,704,9
80,CALIFORNIA,HUNTINGTON BEACH,2017,202244,205,0,22,33,150,2133,335,1565,233,9
81,CALIFORNIA,HUNTINGTON BEACH,2018,202244,218,0,41,59,118,1871,227,1485,159,9
82,CALIFORNIA,INGLEWOOD,2017,110811,418,4,22,206,186,1366,242,685,439,10
83,CALIFORNIA,INGLEWOOD,2018,110811,349,7,29,155,158,1382,220,823,339,6
84,CALIFORNIA,IRVINE,2017,276115,87,2,24,28,33,1797,324,1374,99,4
85,CALIFORNIA,IRVINE,2018,276115,83,0,23,22,38,1673,273,1316,84,2
86,CALIFORNIA,JURUPA VALLEY,2017,104922,138,3,10,36,89,1352,155,858,339,3
87,CALIFORNIA,JURUPA VALLEY,2018,104922,134,5,8,45,76,1389,201,791,397,0
88,CALIFORNIA,LANCASTER,2017,160653,527,7,29,143,348,1561,438,794,329,17
89,CALIFORNIA,LANCASTER,2018,160653,586,4,49,142,391,1855,512,981,362,14
90,CALIFORNIA,LONG BEACH,2017,471397,1551,11,93,618,829,6280,1442,3416,1422,59
91,CALIFORNIA,LONG BEACH,2018,471397,1702,11,107,527,1057,5936,1077,3688,1171,57
92,CALIFORNIA,LOS ANGELES,2017,4007147,14647,142,1229,5163,8113,50108,8233,32231,9644,651
93,CALIFORNIA,LOS ANGELES,2018,4007147,14472,133,1281,5138,7920,50015,7875,33317,8823,897
94,CALIFORNIA,MODESTO,2017,213677,1009,13,54,253,689,4279,664,2897,718,36
95,CALIFORNIA,MODESTO,2018,213677,963,8,47,204,704,3965,564,2819,582,26
96,CALIFORNIA,MORENO VALLEY,2017,207418,372,6,15,166,185,3303,580,2132,591,8
97,CALIFORNIA,MORENO VALLEY,2018,207418,396,7,17,141,231,2933,591,1828,514,5
98,CALIFORNIA,MURRIETA,2017,113016,39,1,10,15,13,837,140,608,89,4
99,CALIFORNIA,MURRIETA,2018,113016,51,2,7,18,24,661,128,435,98,2
100,CALIFORNIA,NORWALK,2017,106278,202,2,9,65,126,990,221,532,237,5
