,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson,Total
44,CALIFORNIA,OAKLAND,2015,419481,3171.0,43.0,129.0,1735.0,1264.0,13097.0,1757.0,8003.0,3337.0,103.0,32639.0
45,CALIFORNIA,OCEANSIDE,2015,176319,313.0,6.0,33.0,102.0,172.0,2156.0,264.0,1666.0,226.0,9.0,4947.0
46,CALIFORNIA,ONTARIO,2015,170274,263.0,2.0,14.0,100.0,147.0,2545.0,444.0,1596.0,505.0,19.0,5635.0
47,CALIFORNIA,ORANGE,2015,140572,96.0,2.0,6.0,31.0,57.0,1502.0,287.0,1042.0,173.0,4.0,3200.0
48,CALIFORNIA,OXNARD,2015,207221,446.0,6.0,12.0,193.0,235.0,3312.0,490.0,2430.0,392.0,12.0,7528.0
49,CALIFORNIA,PALMDALE,2015,159613,406.0,4.0,24.0,121.0,257.0,1590.0,424.0,920.0,246.0,14.0,4006.0
50,CALIFORNIA,PASADENA,2015,141815,204.0,1.0,28.0,66.0,109.0,1951.0,409.0,1372.0,170.0,30.0,4340.0
51,CALIFORNIA,POMONA,2015,154410,402.0,7.0,35.0,148.0,212.0,2333.0,328.0,1322.0,683.0,27.0,5497.0
52,CALIFORNIA,RANCHO CUCAMONGA,2015,176376,102.0,1.0,17.0,37.0,47.0,1915.0,419.0,1327.0,169.0,4.0,4038.0
53,CALIFORNIA,RIALTO,2015,103590,207.0,1.0,19.0,73.0,114.0,1020.0,310.0,410.0,300.0,8.0,2462.0
54,CALIFORNIA,RICHMOND,2015,109716,469.0,8.0,25.0,227.0,209.0,2126.0,400.0,1078.0,648.0,15.0,5205.0
55,CALIFORNIA,RIVERSIDE,2015,323064,679.0,3.0,63.0,253.0,360.0,4949.0,781.0,3416.0,752.0,30.0,11286.0
56,CALIFORNIA,SACRAMENTO,2015,489717,1830.0,25.0,50.0,572.0,1183.0,8056.0,1798.0,4858.0,1400.0,62.0,19834.0
57,CALIFORNIA,SALINAS,2015,158185,589.0,12.0,40.0,224.0,313.0,2361.0,456.0,1033.0,872.0,12.0,5912.0
58,CALIFORNIA,SAN BERNARDINO,2015,216477,1213.0,16.0,45.0,417.0,735.0,5053.0,1564.0,2185.0,1304.0,30.0,12562.0
59,CALIFORNIA,SAN DIEGO,2015,1400467,2845.0,17.0,253.0,659.0,1916.0,13776.0,2435.0,8898.0,2443.0,104.0,33346.0
60,CALIFORNIA,SAN FRANCISCO,2015,863782,3452.0,24.0,174.0,1896.0,1358.0,27669.0,2688.0,21470.0,3511.0,160.0,62402.0
61,CALIFORNIA,SAN JOSE,2015,1031458,1700.0,11.0,178.0,581.0,930.0,12717.0,2466.0,6605.0,3646.0,60.0,28894.0
62,CALIFORNIA,SAN MATEO,2015,104306,118.0,0.0,5.0,27.0,86.0,977.0,355.0,540.0,82.0,3.0,2193.0
63,CALIFORNIA,SANTA ANA,2015,337304,773.0,6.0,69.0,259.0,439.0,3618.0,392.0,2287.0,939.0,22.0,8804.0
64,CALIFORNIA,SANTA CLARA,2015,123562,79.0,0.0,6.0,40.0,33.0,1848.0,280.0,1344.0,224.0,6.0,3860.0
65,CALIFORNIA,SANTA CLARITA,2015,211132,168.0,7.0,19.0,56.0,86.0,1412.0,293.0,997.0,122.0,10.0,3170.0
66,CALIFORNIA,SANTA MARIA,2015,104355,214.0,4.0,26.0,67.0,117.0,1466.0,328.0,804.0,334.0,4.0,3364.0
67,CALIFORNIA,SANTA ROSA,2015,175738,312.0,2.0,40.0,65.0,205.0,2313.0,324.0,1739.0,250.0,20.0,5270.0
68,CALIFORNIA,SIMI VALLEY,2015,127472,83.0,1.0,12.0,20.0,50.0,801.0,132.0,613.0,56.0,5.0,1773.0
69,CALIFORNIA,STOCKTON,2015,304890,2019.0,18.0,65.0,570.0,1366.0,6399.0,1450.0,3999.0,950.0,47.0,16883.0
70,CALIFORNIA,SUNNYVALE,2015,152443,78.0,0.0,17.0,34.0,27.0,1231.0,302.0,778.0,151.0,7.0,2625.0
71,CALIFORNIA,TEMECULA,2015,111673,51.0,0.0,5.0,20.0,26.0,1503.0,266.0,1077.0,160.0,1.0,3109.0
72,CALIFORNIA,THOUSAND OAKS,2015,129976,65.0,0.0,18.0,12.0,35.0,830.0,131.0,638.0,61.0,4.0,1794.0
73,CALIFORNIA,TORRANCE,2015,149243,104.0,1.0,20.0,36.0,47.0,1418.0,272.0,980.0,166.0,1.0,3045.0
74,CALIFORNIA,VALLEJO,2015,121257,502.0,8.0,55.0,154.0,285.0,2449.0,1084.0,852.0,513.0,17.0,5919.0
75,CALIFORNIA,VENTURA,2015,110077,196.0,1.0,32.0,53.0,110.0,1945.0,327.0,1493.0,125.0,8.0,4290.0
76,CALIFORNIA,VICTORVILLE,2015,123332,379.0,4.0,33.0,96.0,246.0,1901.0,543.0,1080.0,278.0,23.0,4583.0
77,CALIFORNIA,VISALIA,2015,130405,309.0,3.0,57.0,75.0,174.0,1982.0,427.0,1315.0,240.0,10.0,4592.0
78,CALIFORNIA,WEST COVINA,2015,109030,121.0,1.0,6.0,39.0,75.0,1460.0,182.0,1049.0,229.0,2.0,3164.0
79,COLORADO,ARVADA,2015,115379,80.0,1.0,15.0,16.0,48.0,1323.0,144.0,1086.0,93.0,11.0,2817.0
80,COLORADO,AURORA,2015,360237,763.0,7.0,183.0,203.0,370.0,5037.0,807.0,3632.0,598.0,34.0,11634.0
81,COLORADO,COLORADO SPRINGS,2015,452410,885.0,8.0,135.0,185.0,557.0,7591.0,1113.0,5791.0,687.0,67.0,17019.0
82,COLORADO,DENVER,2015,682418,2122.0,20.0,312.0,559.0,1231.0,11212.0,2196.0,7017.0,1999.0,57.0,26725.0
83,COLORADO,FORT COLLINS,2015,159629,145.0,1.0,11.0,17.0,116.0,1701.0,215.0,1398.0,88.0,6.0,3698.0
84,COLORADO,LAKEWOOD,2015,151311,425.0,4.0,66.0,98.0,257.0,3550.0,420.0,2763.0,367.0,6.0,7956.0
